MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
4728.json	io.netty.microbench.util.AbstractSharedExecutorMicrobenchmark.DelegateHarnessExecutor.inEventLoop()	noCall	noCall	true	1186
15811.json	io.netty.buffer.CompositeByteBuf.addComponent(boolean, io.netty.buffer.ByteBuf)	null,15417.json,8206.json,7199.json,8434.json,null,null,14631.json,null,null,null,12135.json,null,null,null,null,null,15807.json,5882.json,8191.json	io.netty.testsuite.transport.socket.CompositeBufferGatheringWriteTest.Anonymous-ecf608f0-4613-4143-86a7-c05fcabe014c.initChannel(io.netty.channel.Channel),io.netty.buffer.WrappedCompositeByteBuf.addComponent(boolean, io.netty.buffer.ByteBuf),io.netty.handler.codec.http.websocketx.extensions.compression.DeflateDecoder.decode(io.netty.channel.ChannelHandlerContext, io.netty.handler.codec.http.websocketx.WebSocketFrame, java.util.List<java.lang.Object>),io.netty.channel.CoalescingBufferQueue.compose(io.netty.buffer.ByteBufAllocator, io.netty.buffer.ByteBuf, io.netty.buffer.ByteBuf),io.netty.handler.codec.http.multipart.AbstractMemoryHttpData.addContent(io.netty.buffer.ByteBuf, boolean),io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEcho(io.netty.bootstrap.ServerBootstrap, io.netty.bootstrap.Bootstrap),io.netty.testsuite.transport.socket.SocketGatheringWriteTest.testGatheringWrite0(io.netty.bootstrap.ServerBootstrap, io.netty.bootstrap.Bootstrap, byte[], boolean, boolean),io.netty.handler.ssl.SslHandler.SslHandlerCoalescingBufferQueue.compose(io.netty.buffer.ByteBufAllocator, io.netty.buffer.ByteBuf, io.netty.buffer.ByteBuf),io.netty.testsuite.transport.socket.CompositeBufferGatheringWriteTest.Anonymous-16750c65-af4b-4a34-b03b-7d6eae952ec7.channelActive(io.netty.channel.ChannelHandlerContext),io.netty.testsuite.transport.socket.CompositeBufferGatheringWriteTest.newCompositeBuffer(io.netty.buffer.ByteBufAllocator),io.netty.testsuite.transport.socket.SocketSslEchoTest.EchoServerHandler.channelRead0(io.netty.channel.ChannelHandlerContext, io.netty.buffer.ByteBuf),io.netty.handler.codec.MessageAggregator.appendPartialContent(io.netty.buffer.CompositeByteBuf, io.netty.buffer.ByteBuf),io.netty.handler.codec.ByteToMessageDecoder.Anonymous-2f1be65b-9fc4-474f-bff4-9c1f92207691.cumulate(io.netty.buffer.ByteBufAllocator, io.netty.buffer.ByteBuf, io.netty.buffer.ByteBuf),io.netty.testsuite.transport.socket.DatagramUnicastTest.testSimpleSendCompositeMixedByteBuf(io.netty.bootstrap.Bootstrap, io.netty.bootstrap.Bootstrap),io.netty.testsuite.transport.socket.DatagramUnicastTest.testSimpleSendCompositeHeapByteBuf(io.netty.bootstrap.Bootstrap, io.netty.bootstrap.Bootstrap),io.netty.testsuite.transport.socket.DatagramUnicastTest.testSimpleSendCompositeDirectByteBuf(io.netty.bootstrap.Bootstrap, io.netty.bootstrap.Bootstrap),io.netty.testsuite.transport.socket.CompositeBufferGatheringWriteTest.testCompositeBufferPartialWriteDoesNotCorruptData(io.netty.bootstrap.ServerBootstrap, io.netty.bootstrap.Bootstrap),io.netty.buffer.CompositeByteBuf.addComponent(io.netty.buffer.ByteBuf),io.netty.channel.AbstractCoalescingBufferQueue.composeIntoComposite(io.netty.buffer.ByteBufAllocator, io.netty.buffer.ByteBuf, io.netty.buffer.ByteBuf),io.netty.handler.codec.http.websocketx.extensions.compression.DeflateEncoder.encode(io.netty.channel.ChannelHandlerContext, io.netty.handler.codec.http.websocketx.WebSocketFrame, java.util.List<java.lang.Object>)	true	2167
10082.json	io.netty.handler.codec.http2.HpackDecoder.setMaxHeaderListSize(long)	10081.json,10705.json	io.netty.handler.codec.http2.HpackDecoder.setMaxHeaderListSize(long, long),io.netty.handler.codec.http2.DefaultHttp2HeadersDecoder.maxHeaderListSize(long, long)	true	626
15237.json	io.netty.buffer.UnpooledUnsafeHeapByteBuf.newSwappedByteBuf()	noCall	noCall	true	978
4185.json	io.netty.resolver.DefaultHostsFileEntriesResolver.normalize(java.lang.String)	4184.json	io.netty.resolver.DefaultHostsFileEntriesResolver.address(java.lang.String, io.netty.resolver.ResolvedAddressTypes)	true	580
18259.json	io.netty.buffer.PooledSlicedByteBuf.setBytes(int, java.nio.channels.FileChannel, long, int)	noCall	noCall	true	769
578.json	io.netty.channel.epoll.EpollDomainSocketChannel.doWriteSingle(io.netty.channel.ChannelOutboundBuffer)	noCall	noCall	true	1236
18021.json	io.netty.buffer.EmptyByteBuf.hasArray()	noCall	noCall	true	1998
3720.json	io.netty.util.internal.logging.JdkLogger.isWarnEnabled()	noCall	noCall	true	3609
2893.json	io.netty.util.concurrent.AbstractScheduledEventExecutor.Anonymous-4ff07a3b-48b7-4d60-bb90-27bae597ee1c.run()	noCall	noCall	true	1220
10857.json	io.netty.handler.codec.http2.DefaultHttp2SettingsFrame.settings()	noCall	noCall	true	318
8651.json	io.netty.handler.codec.http.multipart.AbstractDiskHttpData.delete()	8649.json,8650.json	io.netty.handler.codec.http.multipart.AbstractDiskHttpData.setContent(java.io.File),io.netty.handler.codec.http.multipart.AbstractDiskHttpData.setContent(java.io.InputStream)	true	2059
19298.json	io.netty.example.redis.RedisClient.Anonymous-f3efdec2-c768-4a2f-906f-b734f422f2aa.initChannel(io.netty.channel.socket.SocketChannel)	noCall	noCall	true	793
5582.json	io.netty.channel.nio.SelectedSelectionKeySetSelector.provider()	noCall	noCall	true	493
6732.json	io.netty.channel.socket.oio.OioDatagramChannel.block(java.net.InetAddress, java.net.InetAddress)	noCall	noCall	true	2222
11732.json	io.netty.channel.kqueue.KQueueRecvByteAllocatorHandle.readEOF()	11775.json	io.netty.channel.kqueue.AbstractKQueueChannel.AbstractKQueueUnsafe.readEOF()	true	418
11913.json	io.netty.channel.kqueue.KQueueSocketChannelConfig.setAllocator(io.netty.buffer.ByteBufAllocator)	noCall	noCall	true	418
12683.json	io.netty.handler.codec.LengthFieldBasedFrameDecoder.decode(io.netty.channel.ChannelHandlerContext, io.netty.buffer.ByteBuf)	13203.json,12795.json,12678.json	io.netty.handler.codec.marshalling.MarshallingDecoder.decode(io.netty.channel.ChannelHandlerContext, io.netty.buffer.ByteBuf),io.netty.handler.codec.serialization.ObjectDecoder.decode(io.netty.channel.ChannelHandlerContext, io.netty.buffer.ByteBuf),io.netty.handler.codec.LengthFieldBasedFrameDecoder.decode(io.netty.channel.ChannelHandlerContext, io.netty.buffer.ByteBuf, java.util.List<java.lang.Object>)	true	3476
14824.json	io.netty.handler.traffic.AbstractTrafficShapingHandler.getMaxWriteDelay()	noCall	noCall	true	1274
17942.json	io.netty.buffer.EmptyByteBuf.readByte()	noCall	noCall	true	1998
12677.json	io.netty.handler.codec.MessageToByteEncoder.isPreferDirect()	13037.json	io.netty.handler.codec.compression.Lz4FrameEncoder.flush(io.netty.channel.ChannelHandlerContext)	true	522
10416.json	io.netty.handler.codec.http2.StreamBufferingEncoder.Http2GoAwayException.debugData()	noCall	noCall	true	1116
