MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
5501.json	org.springframework.boot.web.embedded.jetty.JettyReactiveWebServerFactory.setUseForwardHeaders(boolean)	noCall	noCall	true	21
215.json	org.springframework.boot.autoconfigure.transaction.jta.BitronixJtaConfiguration.BitronixJtaJmsConfiguration.xaConnectionFactoryWrapper()	noCall	noCall	true	1255
189.json	org.springframework.boot.autoconfigure.integration.IntegrationDataSourceInitializer.getMode()	noCall	noCall	true	283
4549.json	org.springframework.boot.SpringApplication.getOrCreateEnvironment()	null	org.springframework.boot.SpringApplication.prepareEnvironment(org.springframework.boot.SpringApplicationRunListeners, org.springframework.boot.ApplicationArguments)	true	1660
8694.json	org.springframework.boot.cli.compiler.grape.DependencyResolutionContext.getManagedDependency(java.lang.String, java.lang.String)	8692.json	org.springframework.boot.cli.compiler.grape.DependencyResolutionContext.getManagedVersion(java.lang.String, java.lang.String)	true	1001
7732.json	org.springframework.boot.actuate.web.trace.HttpTrace.Request.getUri()	noCall	noCall	true	7
5584.json	org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start()	noCall	noCall	true	342
5306.json	org.springframework.boot.web.client.RestTemplateBuilder.additionalCustomizers(java.util.Collection<? extends org.springframework.boot.web.client.RestTemplateCustomizer>)	null	org.springframework.boot.web.client.RestTemplateBuilder.additionalCustomizers(org.springframework.boot.web.client.RestTemplateCustomizer...)	true	611
2850.json	org.springframework.boot.autoconfigure.jdbc.DataSourceProperties.setDataPassword(java.lang.String)	noCall	noCall	true	647
3859.json	org.springframework.boot.actuate.autoconfigure.web.trace.HttpTraceAutoConfiguration.ServletTraceFilterConfiguration.httpTraceFilter(org.springframework.boot.actuate.web.trace.HttpTraceRepository, org.springframework.boot.actuate.web.trace.HttpExchangeTracer)	noCall	noCall	true	7
2248.json	org.springframework.boot.autoconfigure.web.ServerProperties.Tomcat.Accesslog.setRequestAttributesEnabled(boolean)	noCall	noCall	true	441
2134.json	org.springframework.boot.autoconfigure.web.ServerProperties.getPort()	noCall	noCall	true	1744
10999.json	org.springframework.boot.ant.FindMainClass.setMainClass(java.lang.String)	noCall	noCall	true	947
462.json	org.springframework.boot.autoconfigure.solr.SolrProperties.getHost()	null	org.springframework.boot.autoconfigure.solr.SolrAutoConfiguration.createSolrClient()	true	1351
5830.json	org.springframework.boot.web.embedded.undertow.UndertowReactiveWebServerFactory.createWorker()	noCall	noCall	false	21
9745.json	org.springframework.boot.devtools.tunnel.client.TunnelClientListeners.fireOpenEvent(java.nio.channels.SocketChannel)	9740.json	org.springframework.boot.devtools.tunnel.client.TunnelClient.ServerThread.handleConnection(java.nio.channels.SocketChannel)	true	976
246.json	org.springframework.boot.autoconfigure.ldap.embedded.EmbeddedLdapProperties.getLdif()	262.json	org.springframework.boot.autoconfigure.ldap.embedded.EmbeddedLdapAutoConfiguration.importLdif()	true	392
5557.json	org.springframework.boot.web.embedded.jetty.JasperInitializer.doStart()	noCall	noCall	true	596
4295.json	org.springframework.boot.context.properties.migrator.PropertiesMigrationReport.getWarningReport()	4286.json	org.springframework.boot.context.properties.migrator.PropertiesMigrationListener.logLegacyPropertiesReport()	true	10
8116.json	org.springframework.boot.actuate.endpoint.annotation.EndpointDiscoverer.OperationKey.toString()	noCall	noCall	true	78
8102.json	org.springframework.boot.actuate.endpoint.annotation.EndpointDiscoverer.isExtensionExposed(java.lang.Object)	8101.json	org.springframework.boot.actuate.endpoint.annotation.EndpointDiscoverer.isExtensionExposed(org.springframework.boot.actuate.endpoint.annotation.EndpointDiscoverer.EndpointBean, org.springframework.boot.actuate.endpoint.annotation.EndpointDiscoverer.ExtensionBean)	true	13
8782.json	org.springframework.boot.cli.compiler.maven.MavenSettings.getOffline()	noCall	noCall	false	933
5225.json	org.springframework.boot.web.servlet.ServletContextInitializerBeans.getOrder(java.lang.Object)	noCall	noCall	false	1253
8307.json	org.springframework.boot.actuate.web.trace.servlet.TraceableHttpServletResponse.getHeaders()	noCall	noCall	true	7
9454.json	org.springframework.boot.devtools.restart.Restarter.finish()	noCall	noCall	true	976
6536.json	org.springframework.boot.logging.LoggingSystemProperties.setSystemProperty(java.lang.String, java.lang.String)	noCall	noCall	true	721
